time,temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1:49:10,37.1,0.084,0.084,0.086,0.085,0.089,0.085,0.086,0.086,0.084,0.089,0.087,0.086,0.088,0.449,0.139,0.09,0.087,0.089,0.085,0.089,0.091,0.089,0.091,0.093,0.09,0.466,0.156,0.09,0.089,0.088,0.087,0.426,0.124,0.091,0.091,0.091,0.095,0.498,0.181,0.092,0.091,0.089,0.088,0.09,0.09,0.088,0.09,0.091,0.093,0.544,0.194,0.084,0.088,0.087,0.088,0.089,0.091,0.089,0.091,0.093,0.093,0.496,0.181,0.083,0.09,0.091,0.088,0.089,0.089,0.09,0.092,0.091,0.09,0.493,0.151,0.082,0.094,0.09,0.09,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.087,0.086,0.091,0.088,0.088,0.091
1:59:10,37.1,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.084,0.089,0.087,0.086,0.088,0.45,0.14,0.09,0.087,0.089,0.085,0.089,0.091,0.089,0.093,0.093,0.09,0.467,0.158,0.091,0.089,0.088,0.087,0.44,0.126,0.091,0.092,0.091,0.095,0.5,0.182,0.092,0.091,0.089,0.088,0.09,0.09,0.089,0.09,0.091,0.093,0.547,0.198,0.084,0.088,0.088,0.088,0.089,0.091,0.089,0.091,0.093,0.093,0.5,0.187,0.082,0.091,0.091,0.088,0.089,0.09,0.09,0.092,0.091,0.09,0.509,0.156,0.082,0.094,0.09,0.09,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.088,0.086,0.091,0.088,0.088,0.091
2:09:10,37,0.084,0.084,0.086,0.085,0.089,0.085,0.085,0.086,0.084,0.089,0.087,0.086,0.088,0.45,0.141,0.09,0.087,0.089,0.085,0.089,0.091,0.091,0.091,0.093,0.089,0.468,0.16,0.09,0.089,0.088,0.087,0.455,0.129,0.09,0.091,0.091,0.094,0.499,0.185,0.092,0.091,0.089,0.088,0.09,0.09,0.088,0.09,0.091,0.092,0.55,0.203,0.084,0.088,0.087,0.088,0.089,0.091,0.088,0.091,0.093,0.093,0.508,0.193,0.081,0.091,0.091,0.088,0.089,0.089,0.09,0.092,0.091,0.09,0.53,0.16,0.082,0.094,0.091,0.09,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.088,0.086,0.091,0.088,0.088,0.091
2:19:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.085,0.089,0.087,0.086,0.088,0.449,0.142,0.089,0.086,0.089,0.085,0.089,0.091,0.09,0.091,0.094,0.089,0.465,0.161,0.091,0.089,0.088,0.087,0.472,0.131,0.09,0.091,0.091,0.094,0.5,0.189,0.092,0.092,0.09,0.088,0.09,0.09,0.088,0.09,0.091,0.093,0.551,0.207,0.084,0.088,0.088,0.089,0.089,0.091,0.089,0.091,0.093,0.093,0.516,0.199,0.082,0.091,0.092,0.088,0.089,0.089,0.09,0.092,0.091,0.09,0.554,0.165,0.081,0.094,0.09,0.09,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.088,0.086,0.092,0.088,0.088,0.091
2:29:10,37.1,0.084,0.084,0.085,0.085,0.089,0.085,0.086,0.086,0.084,0.089,0.087,0.086,0.088,0.452,0.143,0.089,0.087,0.089,0.085,0.089,0.091,0.09,0.093,0.094,0.089,0.466,0.163,0.091,0.089,0.088,0.087,0.49,0.135,0.09,0.091,0.091,0.094,0.5,0.193,0.092,0.091,0.09,0.088,0.09,0.09,0.088,0.09,0.091,0.092,0.56,0.213,0.084,0.089,0.088,0.089,0.089,0.091,0.089,0.091,0.093,0.093,0.527,0.206,0.083,0.091,0.092,0.089,0.089,0.089,0.09,0.092,0.091,0.09,0.58,0.17,0.081,0.094,0.091,0.091,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.088,0.086,0.091,0.088,0.088,0.09
2:39:10,37.1,0.084,0.084,0.086,0.085,0.089,0.085,0.085,0.086,0.085,0.089,0.087,0.086,0.088,0.452,0.144,0.089,0.087,0.089,0.085,0.089,0.091,0.09,0.091,0.094,0.09,0.465,0.165,0.091,0.089,0.088,0.087,0.51,0.137,0.09,0.091,0.091,0.095,0.5,0.198,0.092,0.092,0.09,0.088,0.09,0.09,0.088,0.09,0.091,0.093,0.565,0.218,0.084,0.089,0.088,0.089,0.089,0.091,0.089,0.091,0.093,0.093,0.537,0.213,0.084,0.092,0.092,0.089,0.089,0.089,0.09,0.092,0.091,0.09,0.613,0.175,0.081,0.095,0.091,0.091,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.088,0.086,0.092,0.088,0.088,0.091
2:49:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.084,0.089,0.087,0.086,0.088,0.454,0.146,0.089,0.087,0.089,0.085,0.088,0.091,0.09,0.091,0.094,0.089,0.464,0.167,0.091,0.089,0.088,0.087,0.532,0.14,0.09,0.091,0.091,0.094,0.506,0.203,0.092,0.091,0.09,0.088,0.09,0.09,0.088,0.09,0.091,0.092,0.571,0.226,0.084,0.089,0.088,0.089,0.089,0.091,0.089,0.09,0.093,0.093,0.549,0.221,0.083,0.092,0.092,0.089,0.089,0.089,0.09,0.092,0.091,0.09,0.646,0.182,0.081,0.095,0.091,0.091,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.087,0.087,0.087,0.088,0.086,0.091,0.088,0.088,0.09
2:59:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.086,0.086,0.084,0.089,0.087,0.086,0.088,0.457,0.147,0.089,0.087,0.089,0.086,0.088,0.091,0.09,0.091,0.094,0.089,0.465,0.169,0.091,0.09,0.088,0.087,0.552,0.143,0.09,0.091,0.091,0.094,0.506,0.208,0.092,0.091,0.09,0.088,0.09,0.09,0.088,0.09,0.091,0.092,0.576,0.233,0.084,0.089,0.088,0.09,0.089,0.091,0.089,0.091,0.093,0.093,0.561,0.229,0.082,0.092,0.092,0.089,0.089,0.089,0.09,0.092,0.091,0.09,0.669,0.187,0.081,0.095,0.091,0.092,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.087,0.088,0.087,0.088,0.086,0.092,0.088,0.088,0.09
3:09:10,37,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.084,0.089,0.087,0.086,0.088,0.459,0.149,0.089,0.087,0.089,0.086,0.089,0.091,0.09,0.091,0.094,0.089,0.465,0.172,0.091,0.09,0.089,0.087,0.578,0.146,0.09,0.091,0.091,0.094,0.507,0.214,0.092,0.092,0.09,0.088,0.09,0.09,0.088,0.09,0.091,0.092,0.582,0.242,0.084,0.089,0.088,0.09,0.089,0.091,0.089,0.09,0.093,0.093,0.575,0.238,0.081,0.092,0.093,0.09,0.089,0.089,0.09,0.092,0.091,0.09,0.698,0.193,0.081,0.095,0.091,0.092,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.088,0.086,0.092,0.088,0.088,0.09
3:19:10,37.1,0.084,0.084,0.085,0.085,0.089,0.085,0.085,0.086,0.085,0.089,0.087,0.086,0.088,0.458,0.154,0.089,0.088,0.089,0.086,0.089,0.091,0.09,0.091,0.095,0.089,0.466,0.174,0.091,0.09,0.089,0.087,0.599,0.149,0.09,0.091,0.091,0.094,0.509,0.219,0.092,0.092,0.091,0.089,0.09,0.09,0.089,0.09,0.091,0.092,0.59,0.249,0.084,0.089,0.088,0.09,0.089,0.091,0.089,0.091,0.093,0.093,0.59,0.248,0.081,0.092,0.094,0.09,0.089,0.089,0.09,0.092,0.091,0.09,0.73,0.199,0.081,0.095,0.092,0.092,0.09,0.09,0.091,0.091,0.09,0.086,0.088,0.089,0.088,0.087,0.087,0.088,0.086,0.092,0.088,0.088,0.09
